payment_id,ride_id,payment_method,amount,payment_status
P0001,R0001,Wallet,175.98,Success
P0002,R0002,Card,861.04,Success
P0003,R0003,Wallet,0,Failed
P0004,R0004,UPI,645.62,Success
P0005,R0005,Cash,297.76,Success
P0006,R0006,Wallet,81.29,Success
P0007,R0007,Wallet,0,Failed
P0008,R0008,Wallet,411.67,Success
P0009,R0009,Card,297.07,Success
P0010,R0010,Wallet,281.92,Success
P0011,R0011,UPI,603.3,Success
P0012,R0012,Card,0,Failed
P0013,R0013,Cash,0,Failed
P0014,R0014,UPI,365.7,Success
P0015,R0015,Wallet,377.28,Success
P0016,R0016,UPI,146.77,Success
P0017,R0017,Wallet,491.86,Success
P0018,R0018,UPI,0,Failed
P0019,R0019,Card,478.28,Success
P0020,R0020,Wallet,184.17,Success
P0021,R0021,Card,678.66,Success
P0022,R0022,UPI,323.36,Success
P0023,R0023,Wallet,252.15,Success
P0024,R0024,Cash,463.74,Success
P0025,R0025,Cash,352.44,Success
P0026,R0026,Wallet,251.58,Success
P0027,R0027,UPI,184.24,Success
P0028,R0028,Cash,95.02,Success
P0029,R0029,Wallet,75.87,Success
P0030,R0030,Cash,111.59,Success
P0031,R0031,Wallet,549.71,Success
P0032,R0032,UPI,505.32,Success
P0033,R0033,UPI,517.59,Success
P0034,R0034,Card,234.37,Success
P0035,R0035,Cash,0,Failed
P0036,R0036,Card,502.78,Success
P0037,R0037,UPI,498.0,Success
P0038,R0038,Wallet,0,Failed
P0039,R0039,UPI,349.82,Success
P0040,R0040,UPI,269.0,Success
P0041,R0041,Wallet,219.06,Success
P0042,R0042,Card,336.44,Success
P0043,R0043,Cash,292.19,Success
P0044,R0044,UPI,0,Failed
P0045,R0045,UPI,0,Failed
P0046,R0046,Cash,713.67,Success
P0047,R0047,UPI,207.53,Success
P0048,R0048,Cash,0,Failed
P0049,R0049,Cash,0,Failed
P0050,R0050,Cash,317.16,Success
P0051,R0051,Wallet,206.41,Success
P0052,R0052,Card,0,Failed
P0053,R0053,Card,749.33,Success
P0054,R0054,Wallet,0,Failed
P0055,R0055,Card,0,Failed
P0056,R0056,Card,0,Failed
P0057,R0057,Card,485.99,Success
P0058,R0058,UPI,287.52,Success
P0059,R0059,Wallet,0,Failed
P0060,R0060,Card,530.76,Success
P0061,R0061,Wallet,139.45,Success
P0062,R0062,Card,505.72,Success
P0063,R0063,Card,0,Failed
P0064,R0064,Wallet,142.15,Success
P0065,R0065,Cash,299.74,Success
P0066,R0066,Wallet,0,Failed
P0067,R0067,Cash,707.87,Success
P0068,R0068,UPI,265.21,Success
P0069,R0069,Wallet,0,Failed
P0070,R0070,Cash,422.29,Success
P0071,R0071,Card,295.42,Success
P0072,R0072,UPI,263.38,Success
P0073,R0073,Wallet,339.81,Success
P0074,R0074,Cash,239.77,Success
P0075,R0075,Cash,586.2,Success
P0076,R0076,Wallet,177.38,Success
P0077,R0077,Cash,257.83,Success
P0078,R0078,Wallet,296.18,Success
P0079,R0079,Cash,296.49,Success
P0080,R0080,Card,0,Failed
P0081,R0081,Wallet,0,Failed
P0082,R0082,Wallet,557.0,Success
P0083,R0083,UPI,168.06,Success
P0084,R0084,Card,223.59,Success
P0085,R0085,Wallet,350.04,Success
P0086,R0086,Cash,537.86,Success
P0087,R0087,Cash,0,Failed
P0088,R0088,Cash,339.57,Success
P0089,R0089,UPI,528.97,Success
P0090,R0090,Wallet,0,Failed
P0091,R0091,Cash,308.28,Success
P0092,R0092,UPI,70.2,Success
P0093,R0093,UPI,288.14,Success
P0094,R0094,Wallet,276.07,Success
P0095,R0095,Cash,502.6,Success
P0096,R0096,Card,374.71,Success
P0097,R0097,Cash,0,Failed
P0098,R0098,Card,210.29,Success
P0099,R0099,Card,644.69,Success
P0100,R0100,Cash,371.58,Success
