ride_id,customer_id,driver_id,ride_date,pickup_city,drop_city,distance_km,fare,status,rating
R0001,C003,D007,2025-03-20,Delhi,Hyderabad,5.52,175.98,Completed,4
R0002,C004,D009,2025-03-22,Bengaluru,Bengaluru,24.91,861.04,Completed,1
R0003,C015,D001,2025-03-06,Bengaluru,Hyderabad,4.57,0,Cancelled,
R0004,C017,D010,2025-03-27,Mumbai,Mumbai,19.53,645.62,Completed,3
R0005,C001,D010,2025-03-30,Bengaluru,Delhi,10.6,297.76,Completed,5
R0006,C002,D004,2025-03-08,Hyderabad,Pune,2.45,81.29,Completed,3
R0007,C003,D009,2025-03-27,Mumbai,Mumbai,3.97,0,Cancelled,
R0008,C007,D009,2025-03-14,Mumbai,Bengaluru,17.17,411.67,Completed,5
R0009,C004,D004,2025-03-15,Mumbai,Pune,11.18,297.07,Completed,5
R0010,C002,D004,2025-03-03,Pune,Pune,9.78,281.92,Completed,1
R0011,C016,D004,2025-03-22,Hyderabad,Mumbai,21.77,603.3,Completed,3
R0012,C016,D007,2025-03-08,Mumbai,Pune,18.64,0,Cancelled,
R0013,C014,D007,2025-03-12,Delhi,Pune,4.23,0,Cancelled,
R0014,C004,D004,2025-03-26,Mumbai,Mumbai,17.49,365.7,Completed,3
R0015,C008,D002,2025-03-15,Delhi,Hyderabad,14.33,377.28,Completed,3
R0016,C014,D008,2025-03-06,Delhi,Mumbai,4.25,146.77,Completed,2
R0017,C009,D008,2025-03-13,Bengaluru,Delhi,21.89,491.86,Completed,1
R0018,C007,D005,2025-03-05,Mumbai,Pune,18.02,0,Cancelled,
R0019,C019,D008,2025-03-02,Hyderabad,Hyderabad,15.32,478.28,Completed,1
R0020,C003,D004,2025-03-20,Delhi,Pune,5.62,184.17,Completed,1
R0021,C003,D007,2025-03-20,Hyderabad,Hyderabad,23.66,678.66,Completed,1
R0022,C009,D007,2025-03-08,Mumbai,Bengaluru,14.02,323.36,Completed,3
R0023,C004,D002,2025-03-19,Hyderabad,Mumbai,12.52,252.15,Completed,5
R0024,C008,D006,2025-03-29,Bengaluru,Mumbai,13.64,463.74,Completed,1
R0025,C018,D005,2025-03-01,Pune,Mumbai,12.08,352.44,Completed,5
R0026,C010,D010,2025-03-09,Mumbai,Bengaluru,8.08,251.58,Completed,2
R0027,C002,D002,2025-03-29,Delhi,Bengaluru,6.68,184.24,Completed,3
R0028,C015,D009,2025-03-06,Delhi,Hyderabad,3.01,95.02,Completed,3
R0029,C002,D006,2025-03-18,Hyderabad,Hyderabad,2.22,75.87,Completed,2
R0030,C002,D006,2025-03-29,Mumbai,Mumbai,5.41,111.59,Completed,3
R0031,C005,D004,2025-03-20,Mumbai,Mumbai,17.34,549.71,Completed,4
R0032,C014,D004,2025-03-26,Bengaluru,Mumbai,22.27,505.32,Completed,3
R0033,C016,D004,2025-03-28,Mumbai,Delhi,20.11,517.59,Completed,1
R0034,C011,D005,2025-03-13,Pune,Bengaluru,10.04,234.37,Completed,2
R0035,C018,D006,2025-03-22,Pune,Pune,10.08,0,Cancelled,
R0036,C004,D010,2025-03-02,Delhi,Bengaluru,22.17,502.78,Completed,3
R0037,C013,D010,2025-03-04,Mumbai,Bengaluru,18.76,498.0,Completed,5
R0038,C017,D009,2025-03-01,Mumbai,Bengaluru,3.02,0,Cancelled,
R0039,C010,D009,2025-03-24,Bengaluru,Delhi,11.92,349.82,Completed,1
R0040,C013,D003,2025-03-14,Hyderabad,Hyderabad,9.5,269.0,Completed,2
R0041,C019,D010,2025-03-14,Bengaluru,Delhi,8.92,219.06,Completed,2
R0042,C003,D005,2025-03-22,Hyderabad,Hyderabad,12.16,336.44,Completed,2
R0043,C007,D003,2025-03-26,Pune,Pune,9.71,292.19,Completed,2
R0044,C003,D008,2025-03-20,Delhi,Hyderabad,7.63,0,Cancelled,
R0045,C013,D004,2025-03-16,Mumbai,Pune,6.47,0,Cancelled,
R0046,C017,D008,2025-03-06,Pune,Hyderabad,22.53,713.67,Completed,2
R0047,C017,D009,2025-03-22,Hyderabad,Bengaluru,7.73,207.53,Completed,4
R0048,C017,D007,2025-03-20,Hyderabad,Delhi,23.85,0,Cancelled,
R0049,C009,D004,2025-03-15,Bengaluru,Hyderabad,22.64,0,Cancelled,
R0050,C010,D004,2025-03-23,Bengaluru,Bengaluru,13.15,317.16,Completed,1
R0051,C005,D004,2025-03-13,Pune,Delhi,9.35,206.41,Completed,2
R0052,C002,D004,2025-03-14,Delhi,Delhi,11.37,0,Cancelled,
R0053,C016,D001,2025-03-13,Bengaluru,Bengaluru,22.81,749.33,Completed,5
R0054,C018,D010,2025-03-18,Mumbai,Delhi,19.33,0,Cancelled,
R0055,C001,D007,2025-03-16,Bengaluru,Delhi,7.05,0,Cancelled,
R0056,C005,D010,2025-03-30,Hyderabad,Pune,18.66,0,Cancelled,
R0057,C015,D003,2025-03-05,Pune,Bengaluru,22.86,485.99,Completed,4
R0058,C013,D005,2025-03-25,Delhi,Bengaluru,10.72,287.52,Completed,3
R0059,C018,D001,2025-03-01,Bengaluru,Mumbai,21.2,0,Cancelled,
R0060,C001,D010,2025-03-07,Mumbai,Mumbai,16.95,530.76,Completed,2
R0061,C009,D006,2025-03-15,Mumbai,Hyderabad,4.9,139.45,Completed,2
R0062,C010,D002,2025-03-31,Hyderabad,Pune,15.97,505.72,Completed,2
R0063,C007,D002,2025-03-13,Hyderabad,Mumbai,23.36,0,Cancelled,
